PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,2.0,4.0,2.0,11.0,4,8,6,1.0,45.0,0.0,3,2.0
2,5.0,3.0,2.0,6.0,4,8,6,2.0,42.0,0.3333333333333333,3,6.0
2,5.0,3.0,2.0,8.0,4,8,6,2.0,44.0,0.3333333333333333,3,3.0
1,5.0,2.0,2.0,1.0,4,8,6,1.0,78.0,0.0,3,1.0
2,5.0,1.0,1.0,10.0,4,8,6,2.0,33.0,0.3333333333333333,3,3.0
2,5.0,7.0,2.0,6.0,4,8,6,2.0,64.0,0.0,3,2.0
1,5.0,7.0,2.0,4.0,4,8,6,0.0,76.0,0.0,3,1.0
2,5.0,5.0,2.0,4.0,4,8,6,2.0,68.0,0.0,3,3.0
2,5.0,3.0,2.0,4.0,4,8,6,1.0,56.0,0.4,3,5.0
2,5.0,2.0,6.0,8.0,4,8,6,2.0,27.0,0.3333333333333333,3,1.5
1,3.0,3.0,2.0,10.0,4,8,6,2.0,37.0,0.25,3,4.0
3,5.0,5.0,6.0,8.0,4,8,6,3.0,30.0,0.2,3,5.0
1,4.0,6.0,2.0,1.0,4,8,6,1.0,66.0,0.0,3,5.0
4,6.0,2.0,2.0,1.0,4,8,6,3.0,63.0,0.2,3,5.0
2,5.0,5.0,6.0,11.0,4,8,6,1.0,59.0,0.0,3,5.0
2,3.0,7.0,2.0,11.0,4,8,6,1.0,54.0,0.0,3,2.0
2,4.0,3.0,2.0,1.0,7,8,6,1.0,78.0,0.0,3,2.0
1,5.0,4.0,2.0,1.0,7,8,6,1.0,74.0,0.0,3,1.0
1,5.0,3.0,6.0,8.0,7,8,6,1.0,25.0,0.5,3,4.0
3,5.0,2.0,2.0,3.0,7,8,6,3.0,51.0,0.0,3,3.0
4,5.0,6.0,2.0,8.0,7,8,6,2.0,45.0,0.2,3,5.0
1,5.0,3.0,3.0,4.0,7,8,6,1.0,69.0,0.0,3,1.0
1,5.0,4.0,2.0,10.0,7,8,6,2.0,44.0,0.0,3,4.0
1,6.0,1.0,2.0,6.0,7,8,6,1.0,65.0,0.0,3,0.5
2,6.0,3.0,2.0,3.0,7,8,6,2.0,53.0,0.0,3,2.0
5,5.0,4.0,2.0,4.0,7,8,6,4.0,58.0,0.16666666666666666,3,6.0
1,6.0,2.0,1.0,6.0,7,8,6,1.0,37.0,0.5,3,4.0
1,5.0,3.0,2.0,3.0,4,8,6,1.0,51.0,0.0,3,4.0
1,6.0,3.0,2.0,6.0,4,8,6,3.0,60.0,0.0,2,3.0
1,6.0,2.0,2.0,1.0,4,8,6,1.0,81.0,0.0,3,1.0
1,6.0,1.0,2.0,1.0,4,8,6,1.0,69.0,0.0,3,0.2
2,6.0,3.0,2.0,1.0,4,8,6,2.0,80.0,0.0,3,0.4
1,6.0,3.0,2.0,3.0,4,8,6,2.0,59.0,0.0,3,0.4
2,6.0,2.0,2.0,4.0,4,8,6,2.0,46.0,0.3333333333333333,3,0.6
2,6.0,1.0,2.0,3.0,4,8,6,2.0,42.0,0.25,3,4.0
2,6.0,4.0,2.0,4.0,4,8,6,2.0,62.0,0.0,3,2.0
2,6.0,4.0,2.0,5.0,4,8,6,2.0,32.0,0.25,3,4.0
2,6.0,3.0,2.0,3.0,4,8,6,2.0,31.0,0.3333333333333333,3,3.0
1,6.0,2.0,2.0,4.0,4,8,6,2.0,43.0,0.0,3,2.0
3,6.0,4.0,2.0,4.0,4,8,6,4.0,31.0,0.2,3,5.0
2,6.0,3.0,2.0,3.0,4,8,6,4.0,47.0,0.0,3,4.0
2,6.0,1.0,2.0,4.0,4,8,6,3.0,43.0,0.2,2,5.0
1,6.0,1.0,2.0,3.0,4,8,6,1.0,68.0,0.0,3,1.0
1,3.0,6.0,2.0,8.0,4,8,6,0.0,72.0,0.0,3,1.0
1,2.0,2.0,1.0,10.0,4,8,6,1.0,50.0,0.0,3,1.0
3,6.0,2.0,2.0,3.0,4,8,6,0.0,84.0,0.0,3,3.0
1,6.0,1.0,2.0,1.0,4,8,6,0.0,73.0,0.0,2,1.0
1,5.0,2.0,6.0,8.0,4,8,6,1.0,34.0,0.5,2,4.0
2,3.0,4.0,1.0,8.0,4,8,6,2.0,48.0,0.3333333333333333,3,3.0
2,6.0,6.0,2.0,3.0,4,8,6,3.0,60.0,0.0,3,3.0
1,6.0,3.0,2.0,3.0,4,8,6,2.0,39.0,0.5,3,4.0
4,6.0,4.0,2.0,4.0,4,8,6,4.0,57.0,0.0,3,4.0
3,6.0,6.0,2.0,4.0,4,8,6,3.0,47.0,0.2222222222222222,3,9.0
2,5.0,8.0,2.0,4.0,4,8,6,2.0,64.0,0.0,3,3.0
2,6.0,4.0,2.0,4.0,4,8,6,2.0,61.0,0.16666666666666666,3,6.0
