,count,mean,std,min,25%,50%,75%,max
PERCEPHO,16044.0,1.8091498379456494,0.7261603869310237,0.0,1.0,2.0,2.0,3.0
P103,16044.0,4.669097481924707,1.2449796593317257,1.0,4.0,5.0,6.0,7.0
P104,16044.0,3.342183994016455,1.4222436163060366,1.0,2.0,3.0,4.0,7.0
P105A,16044.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
EDUCACION_JEFE,16044.0,5.390114684617302,2.345324453525982,1.0,4.0,5.0,6.0,10.0
DOMINIO,16044.0,4.8505360259286965,2.337795142952133,1.0,3.0,5.0,7.0,8.0
NUM_SERVICIOS,16044.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
NUM_EQUIPOS,16044.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
NUM_OCUPADOS,16044.0,1.4857890800299178,0.8519298378884181,0.0,1.0,1.0,2.0,3.0
EDAD_JEFE,16044.0,57.5977312390925,15.083444596805036,17.0,46.0,58.0,69.0,98.0
PCT_NINOS,16044.0,0.08885892425533412,0.1544819452439304,0.0,0.0,0.0,0.2,0.625
POBREZA,16044.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
HACINAMIENTO,16044.0,2.5945864646032937,1.6112574679466336,0.125,1.0,2.0,4.0,8.0
